,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
0,1000,150,6,6,6,Random,0.007187855099354274,0.16352644249046366,0.010308688548730327,0.19775618775560092,0.010624545970265667,0.19768219743599577
1,1000,150,6,6,6,Random,0.007157685562064281,0.16419282561740528,0.009007600586127621,0.16806235505704217,0.010001131624826767,0.17022177036263467
2,1000,150,6,6,6,Random,0.007278963148667314,0.16308868404080915,0.010613380557968621,0.1948795031604056,0.011211352387321696,0.1978741624932746
3,1000,150,6,6,6,Random,0.007222015668478471,0.16459477968661354,0.00910602926668405,0.1681569304225658,0.009527063767729937,0.16945099583832177
4,1000,150,6,6,6,Random,0.007341160907209446,0.16272518665201238,0.009437913996833832,0.18292395647392667,0.010580211505896433,0.18421997621789396
5,1000,150,6,6,6,Random,0.006965295364138448,0.16153285276101703,0.013008766646933468,0.20146631490659359,0.014389512400967239,0.2068979040013328
6,1000,150,6,6,6,Random,0.007634282490038949,0.16499696961775498,0.008649812670898559,0.16748581460495188,0.008646597342967712,0.16868696020941185
7,1000,150,6,6,6,Random,0.007013996543603659,0.16221383297716357,0.009994863384913216,0.1891210508839713,0.009631843516530044,0.1889944976530924
8,1000,150,6,6,6,Random,0.00752646229951103,0.16491417075368422,0.009351531578495666,0.18893791444178798,0.009519882686142973,0.19070349327695993
9,1000,150,6,6,6,Random,0.007418037996456535,0.16589567384435444,0.008515696362335536,0.16864472497218078,0.009038094881743279,0.16995224260951397
10,1000,150,6,6,6,Random,0.0074213477432030234,0.16332789913957999,0.009741329332956353,0.1915795893772949,0.009966543742457395,0.19325891713599927
11,1000,150,6,6,6,Random,0.006996531753165964,0.16187093386485316,0.008826402665590373,0.17501594081296948,0.009053093828783946,0.17662014122914854
12,1000,150,6,6,6,Random,0.0072378938911821546,0.16213289743321008,0.01821285463923369,0.2020032650853199,0.021212241236476123,0.20442009565715938
13,1000,150,6,6,6,Random,0.007544327825263727,0.1685175095426611,0.009116969113074476,0.16789014700642543,0.010049844260178383,0.1692368930889259
14,1000,150,6,6,6,Random,0.007342990088242911,0.1638385169967167,0.008620661696475457,0.16936312320746386,0.009099780518077976,0.1710510217634065
15,1000,150,6,6,6,Random,0.007491730763839393,0.16387119134006345,0.00880642951759238,0.17323940225907888,0.009339423576894289,0.17711278326914398
16,1000,150,6,6,6,Random,0.007797002844427879,0.16629956326813838,0.008401347113776348,0.16982315506705747,0.008831604247249795,0.1714901971345527
17,1000,150,6,6,6,Random,0.007330905380067172,0.1687133467106639,0.008610534601785558,0.16764871941909812,0.008703524402930044,0.1684905555364406
18,1000,150,6,6,6,Random,0.007544415107593472,0.16799481430126703,0.008686752293916482,0.16780793233945152,0.009202889160552875,0.16848656853932586
19,1000,150,6,6,6,Random,0.007609365131685832,0.16463103824235475,0.008984181559466321,0.16856194352575105,0.00930813954621495,0.17007813714884334
20,1000,150,6,6,6,Random,0.007150160428758299,0.16512758272429504,0.009089183175151661,0.16785552152283087,0.00884524171754761,0.16794839084563487
21,1000,150,6,6,6,Random,0.007123912470499334,0.16393843095781677,0.008921198446118717,0.17074086963866755,0.00902853226194508,0.17234138076366565
22,1000,150,6,6,6,Random,0.007354417624300293,0.16359971399239343,0.00917277797683691,0.16868267209498872,0.00914756786041767,0.17005207739923295
23,1000,150,6,6,6,Random,0.007337572644137097,0.1649604331411158,0.009562577728491143,0.18672893530797738,0.009667531832561135,0.18871344897550502
24,1000,150,6,6,6,Random,0.007497671825426315,0.1661169304614255,0.008888984084877599,0.16772994766856447,0.008979327817845854,0.16889049203809137
25,1000,150,6,6,6,Random,0.007284926814165885,0.16443587522994094,0.00879551117091881,0.16833506941934837,0.00895515295221456,0.1695738080011009
26,1000,150,6,6,6,Random,0.007438217380409343,0.1662353097290439,0.008610909893676008,0.16743226693439425,0.008934921466834372,0.16858084253581976
27,1000,150,6,6,6,Random,0.00695067001655339,0.16253452596999546,0.00963439618104408,0.18823271829078084,0.00988501439973316,0.189346269312911
28,1000,150,6,6,6,Random,0.00787121236229987,0.168312552768736,0.009216485456513625,0.16779742585229432,0.010387563978391476,0.1690592769718349
29,1000,150,6,6,6,Random,0.007175906635563795,0.1654540702920077,0.008897148560263883,0.167497124724436,0.008960629549543669,0.1690259180053506
30,1000,150,6,6,6,Random,0.007300316764792736,0.16359485200354992,0.009824228162724309,0.19416413380631542,0.010106707558502176,0.19568063096989113
31,1000,150,6,6,6,Random,0.007506168688520358,0.16507038177830677,0.009145902699931364,0.18666826454196722,0.009179978329478622,0.18776777298779154
32,1000,150,6,6,6,Random,0.007344348456255281,0.16396460010185648,0.010531465382496495,0.1698219032469958,0.012178387099206852,0.17037711607861344
33,1000,150,6,6,6,Random,0.007421373800521442,0.1641749712906272,0.008947664578159096,0.17008312691331973,0.009064253292964968,0.17135428261709582
34,1000,150,6,6,6,Random,0.007348013246629251,0.1641389096799846,0.00876452166491588,0.167547191605155,0.008780694139849884,0.16886679635229032
35,1000,150,6,6,6,Random,0.007394505797547859,0.16408178648338725,0.00893948167268436,0.17029595748017456,0.009051774843361537,0.17325803109702778
36,1000,150,6,6,6,Random,0.0074452096357925145,0.1637783598757767,0.009395518964886865,0.18327607066077758,0.009209991975696274,0.18285605377110822
37,1000,150,6,6,6,Random,0.00743984604785723,0.16566992592241309,0.00869361742418473,0.16797192754982987,0.008804913192875014,0.1682977423412478
38,1000,150,6,6,6,Random,0.007332795609995751,0.1611079371095981,0.009703749607439104,0.18623197250997373,0.009731802886083557,0.18826525822042206
39,1000,150,6,6,6,Random,0.007606646147410897,0.1658429828959109,0.009048940585916572,0.18311297027145218,0.009372109621415844,0.18556551832844706
40,1000,150,6,6,6,Random,0.0074374470047504,0.1663383259679238,0.008654463462543964,0.17066217548756568,0.00877297855552109,0.17182837862285572
41,1000,150,6,6,6,Random,0.007067414944557565,0.16443424386857078,0.008761972085428208,0.16671078010361387,0.009191985583635981,0.16832194021824104
42,1000,150,6,6,6,Random,0.007299074417851111,0.1669095834246702,0.008945784056955024,0.18484539910930092,0.009194443502885742,0.1870700332293288
43,1000,150,6,6,6,Random,0.007162410648584568,0.16453437465673745,0.012107585929162905,0.16934309840812095,0.013445461047617372,0.1712802697330071
44,1000,150,6,6,6,Random,0.00725570415307671,0.16138834921412243,0.012047260759078192,0.20901054101396277,0.013243290982750105,0.21224788110894574
45,1000,150,6,6,6,Random,0.007194428054589929,0.16421879714221363,0.008766514544413932,0.17826808724322604,0.009134473302841112,0.18099826852416967
46,1000,150,6,6,6,Random,0.007394528648701179,0.1658723127527433,0.008478322628242095,0.16756027469964968,0.008787061565942925,0.16954829106601718
47,1000,150,6,6,6,Random,0.0071691494752507134,0.1627559953928839,0.008673792895877165,0.17367920534092302,0.009377623655927432,0.17681544588094997
48,1000,150,6,6,6,Random,0.007364600253530078,0.16356173244699018,0.00963458175826977,0.17735501860450126,0.009960548783702842,0.17910878140657488
49,1000,150,6,6,6,Random,0.007135991643170733,0.1617791682125765,0.009416384277937739,0.17300220776938927,0.010440512195676039,0.17708421069419347
50,1000,150,6,6,6,Leverage,0.008808396051627993,0.18502728778585456,0.0086668751301688,0.17235737582680527,0.008762653357552516,0.17302237952096608
51,1000,150,6,6,6,Leverage,0.0086203912184136,0.18225667081522828,0.008733926849007796,0.17066820219740958,0.008842114030892453,0.1712733304262051
52,1000,150,6,6,6,Leverage,0.008661159896743677,0.18362628684179896,0.00867252339640796,0.17140877800067203,0.008784479513443588,0.17198405357158383
53,1000,150,6,6,6,Leverage,0.008891254497104744,0.1834162564435427,0.008593756829135654,0.17205706312418204,0.008736245191388551,0.17274031014492613
54,1000,150,6,6,6,Leverage,0.008320329489322752,0.1836233469726319,0.00857957982158167,0.1710729650452459,0.008685800424726014,0.17182199894514544
55,1000,150,6,6,6,Leverage,0.009039428175861746,0.18532845124192568,0.00872885976140533,0.1725768241119372,0.008890424285448895,0.17331631131533343
56,1000,150,6,6,6,Leverage,0.008653959181755736,0.18324374018873404,0.00852577868891816,0.17163249361042293,0.008655654236057287,0.172450566650554
57,1000,150,6,6,6,Leverage,0.008759843648735758,0.183889652065219,0.008646730204098469,0.17123350595577988,0.00879169827939943,0.1720300375919764
58,1000,150,6,6,6,Leverage,0.008627990275558784,0.1850261861159553,0.008822196276273665,0.17175186367544368,0.008946123851762675,0.1724239640120948
59,1000,150,6,6,6,Leverage,0.008764286496844492,0.18468315710845207,0.008698662416391034,0.1721293704907387,0.008817382852769295,0.17276107949692068
60,1000,150,6,6,6,Leverage,0.008665769473611648,0.18374833018065082,0.008592998567622577,0.17169559301986273,0.008736306945460149,0.17231366215538552
61,1000,150,6,6,6,Leverage,0.00887824600387295,0.1825821869356253,0.008563144292338898,0.17169930062675845,0.008709876380342874,0.17245004055060958
62,1000,150,6,6,6,Leverage,0.00867111269325478,0.18361238136255117,0.00861520882749169,0.17120797998865234,0.008811189392774884,0.17207629716760883
63,1000,150,6,6,6,Leverage,0.008717410557628426,0.18527126973175786,0.00870877448661043,0.17227612434555697,0.008905818553663514,0.1730865192872141
64,1000,150,6,6,6,Leverage,0.008742356948868412,0.18337962454825887,0.008622770009952983,0.17165069579926048,0.00881336181371984,0.17235551150883685
65,1000,150,6,6,6,Leverage,0.008408302970689504,0.18129887223176389,0.00869333417039658,0.17092272078960632,0.008841803204404182,0.17169492654797272
66,1000,150,6,6,6,Leverage,0.008650262669751482,0.1832134392067506,0.008551439126197415,0.1720427231601615,0.008695286033581906,0.17270345011736038
67,1000,150,6,6,6,Leverage,0.008915750882978553,0.18345894976044558,0.008606232633775931,0.1715679022034522,0.00879723705059269,0.17236779920110015
68,1000,150,6,6,6,Leverage,0.008549347906836258,0.18332912291603187,0.00871471478705131,0.17076465025239657,0.008844261971138287,0.17139281354976274
69,1000,150,6,6,6,Leverage,0.00877438004841204,0.183458883579634,0.008519774207115697,0.1718999173139863,0.00868607239505834,0.17262547724517188
70,1000,150,6,6,6,Leverage,0.008909774943486236,0.1845134803639608,0.008582331172004827,0.17143327577233353,0.008808886373850714,0.17230638039787471
71,1000,150,6,6,6,Leverage,0.008718061542291329,0.1835733142619706,0.008693220466416086,0.17117157661813728,0.008835197899811423,0.17181542765094396
72,1000,150,6,6,6,Leverage,0.008642671004765427,0.1825127764598931,0.008521929381734898,0.171219316528147,0.008668205114921107,0.17195910962707608
73,1000,150,6,6,6,Leverage,0.008488796209807822,0.1828153739471571,0.008840466506034116,0.17125542154074722,0.00893995600339407,0.17185242513866017
74,1000,150,6,6,6,Leverage,0.008794376916095591,0.18316909162269426,0.008674096809001722,0.17093794032309909,0.008797829471586567,0.1716154551097302
75,1000,150,6,6,6,Leverage,0.00920597683079572,0.1846424087748723,0.008655172422316879,0.17253050769137265,0.008802264096800934,0.17320064182902878
76,1000,150,6,6,6,Leverage,0.008677496993425666,0.18455344926613132,0.00859918624933252,0.17242814934680528,0.008750697747872472,0.17306122290968134
77,1000,150,6,6,6,Leverage,0.008552168798502438,0.18250504830338815,0.00875490566304446,0.17069483880905706,0.00884888644914759,0.1714605260895276
78,1000,150,6,6,6,Leverage,0.008927703100604943,0.1841927754364809,0.008631002905713574,0.1728446682025566,0.00878782348187963,0.17341326182563063
79,1000,150,6,6,6,Leverage,0.008918999211666867,0.18377411449408726,0.008518026124918327,0.17182034984843556,0.008706557920821489,0.17256447826117166
80,1000,150,6,6,6,Leverage,0.00891705853240883,0.18488535359598654,0.008563092595739927,0.1721184292378505,0.00873054850770751,0.17283574801619267
81,1000,150,6,6,6,Leverage,0.008510565899055493,0.1827218571765845,0.00864916125259918,0.17139175554355146,0.00882826376627442,0.17214264528603204
82,1000,150,6,6,6,Leverage,0.008570140704486905,0.18634851510740152,0.00869889837645401,0.17233159731553913,0.00881627313203484,0.17299989668288063
83,1000,150,6,6,6,Leverage,0.008765876085933112,0.1855807107206532,0.008552936553330158,0.17257513770342378,0.008735848114464206,0.17331395462274046
84,1000,150,6,6,6,Leverage,0.008395517851688981,0.18366176434522,0.008603741446814674,0.17223861165975235,0.008718326394817677,0.17288219204119923
85,1000,150,6,6,6,Leverage,0.0088346907440917,0.18120594076841123,0.008589302670172742,0.17050095431502135,0.008679145460489096,0.17145913803196708
86,1000,150,6,6,6,Leverage,0.008456967051609235,0.18402797845882538,0.00873432222235151,0.1724911361600883,0.00898246276659919,0.1731842277423867
87,1000,150,6,6,6,Leverage,0.00892527863051073,0.18277612479790423,0.008560044241903634,0.1721277980711586,0.008695214247763906,0.17278359255822862
88,1000,150,6,6,6,Leverage,0.008556475319372148,0.18331621304856707,0.008596149545336274,0.17145750254305042,0.008714012750397742,0.17216720059551474
89,1000,150,6,6,6,Leverage,0.008711187436083965,0.18104549896251373,0.00865632170923923,0.16995257633919844,0.008801157268863135,0.1706068452198898
90,1000,150,6,6,6,Leverage,0.008537037507043896,0.18310527564342896,0.00865619509117681,0.1715773523040246,0.008806894712884757,0.17234123366791335
91,1000,150,6,6,6,Leverage,0.008846695296141497,0.1845719893457539,0.008692964911774298,0.1712645391894101,0.008838253547963635,0.17194743066627996
